prim	effort_h
Alouatta _guariba	600
Alouatta_belzebul	15
Alouatta_caraya	1678
Alouatta_guariba	4438
Alouatta_palliata	3539
Alouatta_pigra	1099
Alouatta_seniculus	3364
Ateles_belzebuth	2989
Ateles_geoffroyi	1450
Ateles_paniscus	308
Brachyteles_arachnoides	1158
Brachyteles_hypoxanthus	15
Cacajao_melanocephalus	2110
Callicebus_coimbrai	15
Callicebus_melanochir	15
Callicebus_nigrifrons	15
Callithrix_aurita	15
Callithrix_flaviceps	15
Callithrix_geoffroyi	15
Callithrix_jacchus	15
Callithrix_kuhlii	15
Callithrix_penicillata	15
Cebus_albifrons	185
Cebus_capucinus	609
Chiropotes_chiropotes	602
Lagothrix_lagotricha	3243
Lagothrix_lugens	132
Leontopithecus_caissara	15
Leontopithecus_chrysomelas	1097
Leontopithecus_chrysopygus	15
Leontopithecus_rosalia	882
Saguinus_fuscicollis	3488
Saguinus_geoffroyi	200
Saguinus_midas	350
Saguinus_mystax	3688
Sapajus_apella	15
Sapajus_flavius	15
Sapajus_libidinosus	407
Sapajus_nigritus	660
Sapajus_robustus	15
Sapajus_xanthosternos	15
