primate_spp	plant_spp	res
Brachyteles_hypoxanthus	Cyrtocymura_scorpioides	0.020
Brachyteles_arachnoides	Schefflera_calva	0.020
Brachyteles_arachnoides	Schefflera_angustissima	0.020
Alouatta_seniculus	Schefflera_decaphylla	0.022
Alouatta_guariba	Schefflera_morototoni	0.022
Ateles_belzebuth	Schefflera_morototoni	0.021
Callicebus_coimbrai	Schefflera_morototoni	0.035
Alouatta_seniculus	Dendropanax_macrophyllus	0.022
Lagothrix_lagotricha	Dendropanax_caucanus	0.020
Alouatta_pigra	Dendropanax_arboreus	0.022
Ateles_belzebuth	Dendropanax_arboreus	0.021
Ateles_geoffroyi	Dendropanax_arboreus	0.021
Cebus_capucinus	Aralia_excelsa	0.028
Leontopithecus_caissara	Ilex_theezans	0.028
Alouatta_guariba	Ilex_brevicuspis	0.022
Leontopithecus_caissara	Ilex_pseudobuxus	0.028
Alouatta_guariba	Ilex_dumosa	0.022
Alouatta_guariba	Ilex_paraguariensis	0.022
Saguinus_mystax	Discophora_guianensis	0.028
Saguinus_fuscicollis	Discophora_guianensis	0.028
Lagothrix_lagotricha	Aegiphila_racemosa	0.021
Callicebus_nigrifrons	Aegiphila_integrifolia	0.035
Alouatta_guariba	Vitex_polygama	0.022
Alouatta_guariba	Vitex_megapotamica	0.022
Sapajus_xanthosternos	Mendoncia_bahiensis	0.028
Saguinus_mystax	Mendoncia_sprucei	0.028
Saguinus_fuscicollis	Mendoncia_sprucei	0.028
Saguinus_mystax	Mendoncia_klugii	0.028
Saguinus_fuscicollis	Mendoncia_klugii	0.028
Lagothrix_lagotricha	Mendoncia_odorata	0.021
Brachyteles_hypoxanthus	Mendoncia_velloziana	0.021
Leontopithecus_chrysopygus	Mendoncia_velloziana	0.029
Sapajus_nigritus	Mendoncia_velloziana	0.028
Sapajus_nigritus	Schlegelia_parviflora	0.028
Alouatta_palliata	Citharexylum_affine	0.022
Alouatta_guariba	Citharexylum_myrianthum	0.022
Ateles_geoffroyi	Chionanthus_ligustrinus	0.021
Alouatta_guariba	Ligustrum_lucidum	0.022
Alouatta_seniculus	Cordia_lomatoloba	0.022
Alouatta_palliata	Cordia_stellifera	0.022
Cebus_capucinus	Cordia_lasiocalyx	0.028
Saguinus_mystax	Cordia_trachyphylla	0.027
Saguinus_fuscicollis	Cordia_trachyphylla	0.028
Saguinus_mystax	Cordia_ucayaliensis	0.027
Saguinus_fuscicollis	Cordia_ucayaliensis	0.028
Alouatta_guariba	Cordia_ecalyculata	0.022
Leontopithecus_chrysopygus	Cordia_ecalyculata	0.029
Sapajus_nigritus	Cordia_ecalyculata	0.028
Saguinus_mystax	Cordia_nodosa	0.027
Saguinus_fuscicollis	Cordia_nodosa	0.028
Alouatta_guariba	Cordia_sellowiana	0.022
Brachyteles_arachnoides	Cordia_sellowiana	0.021
Lagothrix_lagotricha	Cordia_bicolor	0.021
Cebus_capucinus	Cordia_bicolor	0.028
Alouatta_palliata	Cordia_alba	0.022
Cebus_capucinus	Cordia_alba	0.028
Alouatta_palliata	Cordia_alliodora	0.022
Alouatta_guariba	Cordia_americana	0.022
Sapajus_nigritus	Psychotria_suterella	0.028
Callicebus_coimbrai	Psychotria_hoffmannseggiana	0.035
Brachyteles_arachnoides	Psychotria_tenerior	0.021
Brachyteles_arachnoides	Psychotria_mapoureoides	0.021
Cebus_capucinus	Psychotria_horizontalis	0.028
Alouatta_caraya	Psychotria_carthagenensis	0.022
Alouatta_guariba	Psychotria_carthagenensis	0.022
Alouatta_guariba	Psychotria_mapourioides	0.022
Brachyteles_arachnoides	Psychotria_mapourioides	0.021
Brachyteles_hypoxanthus	Psychotria_mapourioides	0.021
Sapajus_nigritus	Psychotria_mapourioides	0.028
Callicebus_coimbrai	Psychotria_mapourioides	0.035
Ateles_geoffroyi	Palicourea_tetragona	0.021
Saguinus_mystax	Pagamea_coriacea	0.028
Saguinus_fuscicollis	Pagamea_coriacea	0.028
Sapajus_xanthosternos	Faramea_nocturna	0.028
Leontopithecus_rosalia	Faramea_anisocalyx	0.028
Ateles_belzebuth	Faramea_tamberlikiana	0.021
Alouatta_guariba	Faramea_montevidensis	0.022
Ateles_geoffroyi	Faramea_occidentalis	0.021
Cebus_capucinus	Faramea_occidentalis	0.028
Leontopithecus_rosalia	Faramea_multiflora	0.028
Lagothrix_lagotricha	Rosenbergiodendron_longiflorum	0.021
Leontopithecus_rosalia	Tocoyena_brasiliensis	0.028
Leontopithecus_chrysomelas	Tocoyena_bullata	0.028
Lagothrix_lagotricha	Randia_hondensis	0.021
Cebus_capucinus	Randia_thurberi	0.028
Leontopithecus_chrysomelas	Randia_armata	0.028
Cebus_capucinus	Randia_armata	0.028
Alouatta_palliata	Genipa_americana	0.022
Ateles_geoffroyi	Genipa_americana	0.021
Lagothrix_lagotricha	Genipa_americana	0.021
Cebus_capucinus	Genipa_americana	0.028
Leontopithecus_caissara	Amaioua_guianensis	0.028
Callicebus_nigrifrons	Amaioua_guianensis	0.035
Saguinus_mystax	Duroia_saccifera	0.028
Saguinus_fuscicollis	Duroia_saccifera	0.028
Cacajao_melanocephalus	Duroia_velutina	0.035
Saguinus_mystax	Duroia_hirsuta	0.028
Saguinus_fuscicollis	Duroia_hirsuta	0.028
Cebus_capucinus	Alibertia_edulis	0.028
Ateles_belzebuth	Cordiera_macrophylla	0.021
Ateles_belzebuth	Cordiera_hadrantha	0.021
Lagothrix_lagotricha	Cordiera_hadrantha	0.021
Sapajus_nigritus	Coffea_arabica	0.028
Brachyteles_arachnoides	Posoqueria_acutifolia	0.021
Leontopithecus_rosalia	Posoqueria_acutifolia	0.028
Sapajus_nigritus	Posoqueria_acutifolia	0.028
Ateles_geoffroyi	Posoqueria_latifolia	0.021
Brachyteles_arachnoides	Posoqueria_latifolia	0.021
Leontopithecus_rosalia	Posoqueria_latifolia	0.028
Sapajus_xanthosternos	Posoqueria_latifolia	0.028
Sapajus_nigritus	Posoqueria_latifolia	0.028
Cebus_capucinus	Alseis_blackiana	0.028
Saguinus_fuscicollis	Pentagonia_spathicalyx	0.028
Sapajus_xanthosternos	Guettarda_viburnoides	0.028
Lagothrix_lugens	Guettarda_hirsuta	0.021
Alouatta_seniculus	Stenostomum_acreanum	0.022
Alouatta_guariba	Chomelia_obtusa	0.022
Alouatta_guariba	Chiococca_alba	0.022
Ateles_geoffroyi	Hamelia_patens	0.021
Leontopithecus_chrysomelas	Simira_viridiflora	0.028
Leontopithecus_chrysomelas	Simira_rubra	0.028
Ateles_belzebuth	Pacouria_boliviensis	0.021
Ateles_paniscus	Pacouria_boliviensis	0.021
Lagothrix_lagotricha	Pacouria_guianensis	0.021
Cebus_capucinus	Malouetia_tamaquarina	0.028
Leontopithecus_chrysomelas	Macoubea_guianensis	0.028
Sapajus_xanthosternos	Macoubea_guianensis	0.028
Lagothrix_lagotricha	Couma_macrocarpa	0.021
Saguinus_mystax	Couma_macrocarpa	0.027
Saguinus_fuscicollis	Couma_macrocarpa	0.028
Saguinus_mystax	Lacmellea_peruviana	0.027
Saguinus_fuscicollis	Lacmellea_peruviana	0.028
Leontopithecus_chrysomelas	Lacmellea_bahiensis	0.028
Alouatta_seniculus	Lacmellea_aculeata	0.022
Cebus_capucinus	Lacmellea_panamensis	0.028
Alouatta_seniculus	Parahancornia_fasciculata	0.022
Saguinus_mystax	Strychnos_panurensis	0.027
Saguinus_mystax	Strychnos_jobertiana	0.027
Saguinus_mystax	Strychnos_rondeletioides	0.027
Saguinus_fuscicollis	Strychnos_rondeletioides	0.028
Saguinus_mystax	Strychnos_guianensis	0.027
Saguinus_fuscicollis	Strychnos_guianensis	0.028
Lagothrix_lagotricha	Strychnos_schultesiana	0.021
Lagothrix_lagotricha	Strychnos_erichsonii	0.021
Chiropotes_chiropotes	Strychnos_cogens	0.036
Brachyteles_arachnoides	Strychnos_trinervis	0.021
Ateles_paniscus	Strychnos_asperula	0.021
Ateles_geoffroyi	Strychnos_panamensis	0.021
Alouatta_guariba	Strychnos_brasiliensis	0.022
Sapajus_nigritus	Solanum_granulosoleprosum	0.028
Cebus_capucinus	Solanum_hayesii	0.028
Brachyteles_arachnoides	Solanum_swartzianum	0.021
Alouatta_guariba	Solanum_rufescens	0.022
Alouatta_guariba	Solanum_pseudoquina	0.022
Brachyteles_arachnoides	Solanum_pseudoquina	0.021
Alouatta_belzebul	Solanum_variabile	0.022
Sapajus_xanthosternos	Solanum_rupincola	0.028
Alouatta_guariba	Solanum_aculeatissimum	0.022
Callicebus_nigrifrons	Solanum_mauritianum	0.035
Sapajus_nigritus	Solanum_argenteum	0.028
Cebus_capucinus	Markea_ulei	0.028
Lagothrix_lagotricha	Cestrum_racemosum	0.021
Chiropotes_chiropotes	Duckeodendron_cestroides	0.036
Lagothrix_lagotricha	Lysiostyles_scandens	0.020
Alouatta_guariba	Merremia_dissecta	0.022
Saguinus_mystax	Dicranostyles_scandens	0.028
Saguinus_fuscicollis	Dicranostyles_scandens	0.028
Lagothrix_lagotricha	Dicranostyles_laxa	0.020
Lagothrix_lagotricha	Dicranostyles_densa	0.020
Ateles_belzebuth	Dicranostyles_ampla	0.021
Lagothrix_lagotricha	Maripa_peruviana	0.020
Saguinus_mystax	Maripa_peruviana	0.028
Saguinus_fuscicollis	Maripa_peruviana	0.028
Cebus_capucinus	Maripa_panamensis	0.028
