primate	plant	genus	family
Alouatta_belzebul	Spondias_mombin	Spondias	Anacardiaceae
Alouatta_belzebul	Tapirira_guianensis	Tapirira	Anacardiaceae
Alouatta_belzebul	Protium_heptaphyllum	Protium	Burseraceae
Alouatta_belzebul	Symphonia_globulifera	Symphonia	Clusiaceae
Alouatta_belzebul	Dialium_guianense	Dialium	Fabaceae
Alouatta_belzebul	Dioclea_rufescens	Dioclea	Fabaceae
Alouatta_belzebul	Eschweilera_ovata	Eschweilera	Lecythidaceae
Alouatta_belzebul	Byrsonima_sericea	Byrsonima	Malpighiaceae
Alouatta_belzebul	Solanum_variabile	Solanum	Solanaceae
Alouatta_caraya	Bromelia_karatas	Bromelia	Bromeliaceae
Alouatta_caraya	Geoffroea_spinosa	Geoffroea	Fabaceae
Alouatta_caraya	Inga_vera	Inga	Fabaceae
Alouatta_caraya	Nectandra_angustifolia	Nectandra	Lauraceae
Alouatta_caraya	Nectandra_megapotamica	Nectandra	Lauraceae
Alouatta_caraya	Ocotea_diospyrifolia	Ocotea	Lauraceae
Alouatta_caraya	Byrsonima_gardneriana	Byrsonima	Malpighiaceae
Alouatta_caraya	Brosimum_alicastrum	Brosimum	Moraceae
Alouatta_caraya	Ficus_gomelleira	Ficus	Moraceae
Alouatta_caraya	Ficus_guaranitica	Ficus	Moraceae
Alouatta_caraya	Ficus_luschnathiana	Ficus	Moraceae
Alouatta_caraya	Ficus_obtusiuscula	Ficus	Moraceae
Alouatta_caraya	Maclura_tinctoria	Maclura	Moraceae
Alouatta_caraya	Eugenia_burkartiana	Eugenia	Myrtaceae
Alouatta_caraya	Eugenia_punicifolia	Eugenia	Myrtaceae
Alouatta_caraya	Eugenia_pyriformis	Eugenia	Myrtaceae
Alouatta_caraya	Psidium_guajava	Psidium	Myrtaceae
Alouatta_caraya	Phytolacca_dioica	Phytolacca	Phytolaccaceae
Alouatta_caraya	Ziziphus_joazeiro	Ziziphus	Rhamnaceae
Alouatta_caraya	Psychotria_carthagenensis	Psychotria	Rubiaceae
Alouatta_caraya	Banara_arguta	Banara	Salicaceae
Alouatta_caraya	Pouteria_bapeba	Pouteria	Sapotaceae
Alouatta_caraya	Pouteria_salicifolia	Pouteria	Sapotaceae
Alouatta_caraya	Cecropia_pachystachya	Cecropia	Urticaceae
Alouatta_caraya	Urera_aurantiaca	Urera	Urticaceae
Alouatta_caraya	Cissus_palmata	Cissus	Vitaceae
