forest	primate	genus	interact	plant
at_fo	Alouatta_belzebul	Spondias	Alouatta_belzebul-Spondias	Spondias_mombin
at_fo	Alouatta_belzebul	Tapirira	Alouatta_belzebul-Tapirira	Tapirira_guianensis
at_fo	Alouatta_belzebul	Protium	Alouatta_belzebul-Protium	Protium_heptaphyllum
at_fo	Alouatta_belzebul	Symphonia	Alouatta_belzebul-Symphonia	Symphonia_globulifera
at_fo	Alouatta_belzebul	Dialium	Alouatta_belzebul-Dialium	Dialium_guianense
at_fo	Alouatta_belzebul	Dioclea	Alouatta_belzebul-Dioclea	Dioclea_rufescens
at_fo	Alouatta_belzebul	Eschweilera	Alouatta_belzebul-Eschweilera	Eschweilera_ovata
at_fo	Alouatta_belzebul	Byrsonima	Alouatta_belzebul-Byrsonima	Byrsonima_sericea
at_fo	Alouatta_belzebul	Solanum	Alouatta_belzebul-Solanum	Solanum_variabile
at_fo	Alouatta_caraya	Bromelia	Alouatta_caraya-Bromelia	Bromelia_karatas
at_fo	Alouatta_caraya	Geoffroea	Alouatta_caraya-Geoffroea	Geoffroea_spinosa
at_fo	Alouatta_caraya	Inga	Alouatta_caraya-Inga	Inga_vera
at_fo	Alouatta_caraya	Nectandra	Alouatta_caraya-Nectandra	Nectandra_angustifolia
at_fo	Alouatta_caraya	Nectandra	Alouatta_caraya-Nectandra	Nectandra_megapotamica
at_fo	Alouatta_caraya	Ocotea	Alouatta_caraya-Ocotea	Ocotea_diospyrifolia
at_fo	Alouatta_caraya	Byrsonima	Alouatta_caraya-Byrsonima	Byrsonima_gardneriana
at_fo	Alouatta_caraya	Brosimum	Alouatta_caraya-Brosimum	Brosimum_alicastrum
at_fo	Alouatta_caraya	Ficus	Alouatta_caraya-Ficus	Ficus_gomelleira
at_fo	Alouatta_caraya	Ficus	Alouatta_caraya-Ficus	Ficus_guaranitica
at_fo	Alouatta_caraya	Ficus	Alouatta_caraya-Ficus	Ficus_luschnathiana
at_fo	Alouatta_caraya	Ficus	Alouatta_caraya-Ficus	Ficus_obtusiuscula
at_fo	Alouatta_caraya	Maclura	Alouatta_caraya-Maclura	Maclura_tinctoria
at_fo	Alouatta_caraya	Eugenia	Alouatta_caraya-Eugenia	Eugenia_burkartiana
at_fo	Alouatta_caraya	Eugenia	Alouatta_caraya-Eugenia	Eugenia_punicifolia
at_fo	Alouatta_caraya	Eugenia	Alouatta_caraya-Eugenia	Eugenia_pyriformis
at_fo	Alouatta_caraya	Psidium	Alouatta_caraya-Psidium	Psidium_guajava
at_fo	Alouatta_caraya	Phytolacca	Alouatta_caraya-Phytolacca	Phytolacca_dioica
at_fo	Alouatta_caraya	Ziziphus	Alouatta_caraya-Ziziphus	Ziziphus_joazeiro
at_fo	Alouatta_caraya	Psychotria	Alouatta_caraya-Psychotria	Psychotria_carthagenensis
at_fo	Alouatta_caraya	Banara	Alouatta_caraya-Banara	Banara_arguta
at_fo	Alouatta_caraya	Pouteria	Alouatta_caraya-Pouteria	Pouteria_bapeba
at_fo	Alouatta_caraya	Pouteria	Alouatta_caraya-Pouteria	Pouteria_salicifolia
at_fo	Alouatta_caraya	Cecropia	Alouatta_caraya-Cecropia	Cecropia_pachystachya
at_fo	Alouatta_caraya	Urera	Alouatta_caraya-Urera	Urera_aurantiaca
at_fo	Alouatta_caraya	Cissus	Alouatta_caraya-Cissus	Cissus_palmata
at_fo	Alouatta_guariba	Lithraea	Alouatta_guariba-Lithraea	Lithraea_brasiliensis
at_fo	Alouatta_guariba	Schinus	Alouatta_guariba-Schinus	Schinus_terebinthifolius
at_fo	Alouatta_guariba	Tapirira	Alouatta_guariba-Tapirira	Tapirira_guianensis
at_fo	Alouatta_guariba	Annona	Alouatta_guariba-Annona	Annona_cacans
at_fo	Alouatta_guariba	Annona	Alouatta_guariba-Annona	Annona_maritima
at_fo	Alouatta_guariba	Annona	Alouatta_guariba-Annona	Annona_sylvatica
at_fo	Alouatta_guariba	Guatteria	Alouatta_guariba-Guatteria	Guatteria_australis
at_fo	Alouatta_guariba	Rollinia	Alouatta_guariba-Rollinia	Rollinia_sylvatica
at_fo	Alouatta_guariba	Ilex	Alouatta_guariba-Ilex	Ilex_brevicuspis
at_fo	Alouatta_guariba	Ilex	Alouatta_guariba-Ilex	Ilex_dumosa
at_fo	Alouatta_guariba	Ilex	Alouatta_guariba-Ilex	Ilex_paraguariensis
at_fo	Alouatta_guariba	Anthurium	Alouatta_guariba-Anthurium	Anthurium_scandens
at_fo	Alouatta_guariba	Schefflera	Alouatta_guariba-Schefflera	Schefflera_morototoni
at_fo	Alouatta_guariba	Butia	Alouatta_guariba-Butia	Butia_capitata
at_fo	Alouatta_guariba	Euterpe	Alouatta_guariba-Euterpe	Euterpe_edulis
at_fo	Alouatta_guariba	Geonoma	Alouatta_guariba-Geonoma	Geonoma_schottiana
at_fo	Alouatta_guariba	Syagrus	Alouatta_guariba-Syagrus	Syagrus_romanzoffiana
at_fo	Alouatta_guariba	Cordia	Alouatta_guariba-Cordia	Cordia_americana
at_fo	Alouatta_guariba	Cordia	Alouatta_guariba-Cordia	Cordia_ecalyculata
at_fo	Alouatta_guariba	Cordia	Alouatta_guariba-Cordia	Cordia_sellowiana
at_fo	Alouatta_guariba	Cereus	Alouatta_guariba-Cereus	Cereus_hildmannianus
at_fo	Alouatta_guariba	Pereskia	Alouatta_guariba-Pereskia	Pereskia_aculeata
at_fo	Alouatta_guariba	Calophyllum	Alouatta_guariba-Calophyllum	Calophyllum_brasiliense
at_fo	Alouatta_guariba	Cinamomodendron	Alouatta_guariba-Cinamomodendron	Cinamomodendron_dinisii
at_fo	Alouatta_guariba	Celtis	Alouatta_guariba-Celtis	Celtis_iguanaea
at_fo	Alouatta_guariba	Celtis	Alouatta_guariba-Celtis	Celtis_spinosa
at_fo	Alouatta_guariba	Trema	Alouatta_guariba-Trema	Trema_micrantha
at_fo	Alouatta_guariba	Jacaratia	Alouatta_guariba-Jacaratia	Jacaratia_spinosa
at_fo	Alouatta_guariba	Maytenus	Alouatta_guariba-Maytenus	Maytenus_robusta
at_fo	Alouatta_guariba	Parinari	Alouatta_guariba-Parinari	Parinari_excelsa
at_fo	Alouatta_guariba	Garcinia	Alouatta_guariba-Garcinia	Garcinia_brasiliensis
at_fo	Alouatta_guariba	Merremia	Alouatta_guariba-Merremia	Merremia_dissecta
at_fo	Alouatta_guariba	Diospyros	Alouatta_guariba-Diospyros	Diospyros_inconstans
at_fo	Alouatta_guariba	Diospyros	Alouatta_guariba-Diospyros	Diospyros_kaki
at_fo	Alouatta_guariba	Erythroxylum	Alouatta_guariba-Erythroxylum	Erythroxylum_argentinum
at_fo	Alouatta_guariba	Alchornea	Alouatta_guariba-Alchornea	Alchornea_glandulosa
at_fo	Alouatta_guariba	Alchornea	Alouatta_guariba-Alchornea	Alchornea_triplinervia
at_fo	Alouatta_guariba	Sebastiania	Alouatta_guariba-Sebastiania	Sebastiania_serrata
at_fo	Alouatta_guariba	Copaifera	Alouatta_guariba-Copaifera	Copaifera_langsdorfii
at_fo	Alouatta_guariba	Copaifera	Alouatta_guariba-Copaifera	Copaifera_langsdorfii
at_fo	Alouatta_guariba	Enterolobium	Alouatta_guariba-Enterolobium	Enterolobium_contortisiliquum
at_fo	Alouatta_guariba	Inga	Alouatta_guariba-Inga	Inga_affinis
at_fo	Alouatta_guariba	Inga	Alouatta_guariba-Inga	Inga_luschnathiana
at_fo	Alouatta_guariba	Inga	Alouatta_guariba-Inga	Inga_striata
at_fo	Alouatta_guariba	Inga	Alouatta_guariba-Inga	Inga_subnuda
at_fo	Alouatta_guariba	Inga	Alouatta_guariba-Inga	Inga_uruguensis
at_fo	Alouatta_guariba	Inga	Alouatta_guariba-Inga	Inga_vera
at_fo	Alouatta_guariba	Pterocarpus	Alouatta_guariba-Pterocarpus	Pterocarpus_violaceus
at_fo	Alouatta_guariba	Vantanea	Alouatta_guariba-Vantanea	Vantanea_compacta
at_fo	Alouatta_guariba	Vitex	Alouatta_guariba-Vitex	Vitex_megapotamica
at_fo	Alouatta_guariba	Vitex	Alouatta_guariba-Vitex	Vitex_polygama
at_fo	Alouatta_guariba	Cryptocarya	Alouatta_guariba-Cryptocarya	Cryptocarya_mandioccana
at_fo	Alouatta_guariba	Cryptocarya	Alouatta_guariba-Cryptocarya	Cryptocarya_moschata
at_fo	Alouatta_guariba	Nectandra	Alouatta_guariba-Nectandra	Nectandra_megapotamica
at_fo	Alouatta_guariba	Nectandra	Alouatta_guariba-Nectandra	Nectandra_membranacea
at_fo	Alouatta_guariba	Ocotea	Alouatta_guariba-Ocotea	Ocotea_corymbosa
at_fo	Alouatta_guariba	Ocotea	Alouatta_guariba-Ocotea	Ocotea_diospyrifolia
at_fo	Alouatta_guariba	Ocotea	Alouatta_guariba-Ocotea	Ocotea_minarum
at_fo	Alouatta_guariba	Ocotea	Alouatta_guariba-Ocotea	Ocotea_odorifera
