ref	prim	plant	genus
REF01	Alouatta_palliata	Cecropia_obtusifolia	Cecropia
REF01	Alouatta_pigra	Cecropia_obtusifolia	Cecropia
REF01	Alouatta_pigra	Coussapoa_purpusii	Coussapoa
REF01	Alouatta_palliata	Cynometra_retusa	Cynometra
REF01	Alouatta_pigra	Cynometra_retusa	Cynometra
REF01	Alouatta_pigra	Dendropanax_arboreus	Dendropanax
REF01	Alouatta_palliata	Ficus_colubrinae	Ficus
REF01	Alouatta_pigra	Ficus_colubrinae	Ficus
REF01	Alouatta_palliata	Ficus_americana	Ficus
REF01	Alouatta_pigra	Ficus_americana	Ficus
REF01	Alouatta_palliata	Ficus_insipida	Ficus
REF01	Alouatta_pigra	Ficus_insipida	Ficus
REF01	Alouatta_pigra	Ficus_pertusa	Ficus
REF01	Alouatta_palliata	Ficus_apollinaris	Ficus
REF01	Alouatta_pigra	Ficus_apollinaris	Ficus
REF01	Alouatta_pigra	Ocotea	Ocotea
REF01	Alouatta_palliata	Poulsenia_armata	Poulsenia
REF01	Alouatta_pigra	Poulsenia_armata	Poulsenia
REF01	Alouatta_pigra	Pseudolmedia_glabrata	Pseudolmedia
REF01	Alouatta_palliata	Smilax	Smilax
REF01	Alouatta_pigra	Trichostigma_octandrum	Trichostigma
REF02	Alouatta_caraya	Banara_arguta	Banara
REF02	Alouatta_caraya	Cecropia_pachystachya	Cecropia
REF02	Alouatta_caraya	Eugenia_punicifolia	Eugenia
REF02	Alouatta_caraya	Geoffroea_spinosa	Geoffroea
REF02	Alouatta_caraya	Ocotea_diospyrifolia	Ocotea
REF02	Alouatta_caraya	Psychotria	Psychotria
REF03	Alouatta_caraya	Ficus_luschnathiana	Ficus
REF03	Alouatta_caraya	Phytolacca_dioica	Phytolacca
REF04	Alouatta_guariba	Ficus_enormis	Ficus
REF05	Alouatta_seniculus	Bagassa_guianensis	Bagassa
REF05	Alouatta_seniculus	Cecropia_obtusa	Cecropia
REF05	Alouatta_seniculus	Chrysophyllum_lucentifolium	Chrysophyllum
REF05	Alouatta_seniculus	Chrysophyllum_prieurii	Chrysophyllum
REF05	Alouatta_seniculus	Cordia_lomatoloba	Cordia
REF05	Alouatta_seniculus	Dendrobangia_boliviana	Dendrobangia
REF05	Alouatta_seniculus	Drypetes_variabilis	Drypetes
REF05	Alouatta_seniculus	Ecclinusa_lanceolata	Ecclinusa
REF05	Alouatta_seniculus	Ficus_insipida	Ficus
REF05	Alouatta_seniculus	Goupia_glabra	Goupia
REF05	Alouatta_seniculus	Licania_membranacea	Licania
REF05	Alouatta_seniculus	Ludovia_lancifolia	Ludovia
