ref	site	country
REF01	A..palliata.-.Los.Tuxtlas.Biosphere.Reserve.(Los.Tuxtlas,.Veracruz);.A..pigra.-.Palenque.National.Park.(PNP).>.MÉXICO	Mexico
REF02	.Brasilera.Island.>.ARGENTINA	Argentina
REF03	.Brasilera.Island.>.ARGENTINA	Argentina
REF04	Reserva.de.Santa.Genebra.(tropical.upland.semideciduous.forest).-.Campinas.>.BRAZIL	Brazil
REF05	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF06	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF07	Palo.Verde.National.Park.>.COSTA.RICA	Costa.Rica
REF08	Cocha.Cashu.Biological.Station.(CCBS).in.Manu.National.Park.>.PERU	Peru
REF09	Los.Tuxtlas.biological.reserve.in.southern.Veracruz.>.MEXICO	Mexico
REF10	Yasuní.National.Park.>.ECUADOR	Ecuador
REF11	Una.Biological.Reserve.(REBIO-Una),.Uma.>.BRAZIL	Brazil
REF12	União.Biological.Reserve.-.Casimiro.de.Abreu.and.Rio.das.Ostras.(RJ).>.BRAZIL	Brazil
REF13	União.Biological.Reserve.-.Casimiro.de.Abreu.and.Rio.das.Ostras.(RJ).>.BRAZIL	Brazil
REF14	Barro.Colorado.Island.(BCI).>>.PANAMÁ	Panamá
REF15	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF16	Fazenda.Vitoria,.located.7.km.northeast.of.Paragominas,.Pará.>.BRAZIL	Brazil
REF17	BDFFP.(Minimum.Critical.Size.of.Ecosystems.Project),.Manaus.>.BRAZIL.	Brazil
REF18	Cocha.Cashu.Biological.Station.(CCBS).in.Manu.National.Park.>.PERU	Peru
REF19	Fazenda.Barreiro.Rico.near.the.confluence.of.the.Piracicaba.and.Tiete.Rivers.(São.Paulo).>.BRAZIL	Brazil
REF20	Floresta.de.terra.firme.-.Rio.Tefé.(Amazonas).>.BRAZIL	Brazil
REF21	Estación.Biológica.Quebrada.Blanco.>.PERU	Peru
REF22	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF23	Parque.Estadual.Carlos.Botelho.>.BRAZIL	Brazil
REF24	Estación.Biológica.Quebrada.Blanco.>.PERU	Peru
REF25	Una.Biological.Reserve,.Bahia.>.BRAZIL	Brazil
REF26	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF27	Santa.Rosa.National.Park.>.COSTA.RICA	Costa.Rica
REF28	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF29	Santa.Rosa.National.Park.>.COSTA.RICA	Costa.Rica
REF30	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF31	Montes.Azules.Biosphere.Reserve.(Chiapas).>..MEXICO	Mexico
REF32	Santa.Rosa.National.Park.>.COSTA.RICA	Costa.Rica
REF33	Estación.Biológica.Quebrada.Blanco.>.PERU	Peru
REF34	Barro.Colorado.Island.(BCI).>>.PANAMÁ	Panamá
REF35	Serra.da.Capivara.National.Park,.Piauí.>.BRAZIL	Brazil
REF36	Fazenda.Barreiro.Rico.near.the.confluence.of.the.Piracicaba.and.Tiete.Rivers.(São.Paulo).>.BRAZIL	Brazil
REF37	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF38	Chiapas,.Lacandona.rainforest>.MEXICO	Mexico
REF39	.Brasilera.Island.>.ARGENTINA	Argentina
REF40	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF41	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF42	Estação.Ecológica.de.Maracá,.Roraima.>.BRAZIL	Brazil
REF43	Jau.National.Park,.Manaus.>.BRAZIL	Brazil
REF44	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF45	Yasuní.National.Park.>.ECUADOR	Ecuador
REF46	Estación.Biológica.Caparú.(EBC).>.COLOMBIA	Colombia
REF47	Santa.Rosa.National.Park.>.COSTA.RICA	Costa.Rica
REF48	Barro.Colorado.Island.(BCI).>>.PANAMÁ	Panamá
REF49	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF50	Municipalities.of.Juarez.and.Reforma,.Chiapas.>.MEXICO	Mexico
REF51	Guarayos.Forest.Reserve,.Departmento.Santa.Cruz.>.BOLIVIA	Bolivia
REF52	Reserva.de.Santa.Genebra.(tropical.upland.semideciduous.forest).-.Campinas.>.BRAZIL	Brazil
REF53	Reserva.de.Santa.Genebra.(tropical.upland.semideciduous.forest).-.Campinas.>.BRAZIL	Brazil
REF54	Los.Guaracharos.National.Park.(andes.ocidental).>.COLOMBIA	Colombia
REF55	Nouragues.Biological.Station.>.FRENCH.GUIANA	French.Guiana
REF56	Santuario.de.Fauna.y.Flora.Otún-Quimbaya.(andes.ocidental).>.COLOMBIA	Colombia
REF57	Estación.Biológica.Quebrada.Blanco.>.PERU	Peru
REF58	Los.Tuxtlas.biological.reserve.in.southern.Veracruz.>.MEXICO	Mexico
REF59	Tinigua.National.Park,.west.of.Sierra.de.La.Macarena,.Departamento.del.Meta.>.COLOMBIA	Colombia
REF60	Parque.Nacional.Tikal.>.GUATEMALA	Guatemala
REF61	Doralice.Farm.Parana.state.>.BRAZIL	Brazil
REF62	Los.Tuxtlas.biological.reserve.in.southern.Veracruz.>.MEXICO	Mexico
REF63	Cocha.Cashu.Biological.Station.(CCBS).in.Manffl.National.Park,.Peru.>.PERU	Peru
REF64	Estación.Biológica.Quebrada.Blanco.>.PERU	Peru
REF65	Barro.Colorado.Island.(BCI).>>.PANAMÁ	Panamá
REF66	Los.Tuxtlas.biological.reserve.in.southern.Veracruz.>.MEXICO	Mexico
REF67	Estación.Biologica.Quebrada.Blanco.>.PERU	Peru
REF68	BDFFP.(Minimum.Critical.Size.of.Ecosystems.Project),.Manaus.>.BRAZIL.	Brazil
REF69	Playa.Escondida,.Los.Tuxtlas.>.MEXICO	Mexico
REF70	Los.Tuxtlas.(Playa.Escondida).>.MEXICO	Mexico
REF72	Chiapas,.Lacandona.rainforest>.MEXICO	Mexico
REF73	Chiapas,.Lacandona.rainforest>.MEXICO	Mexico
REF74	Chiapas,.Lacandona.rainforest>.MEXICO	Mexico
REF75	Atlantic.Forest	Brazil
REF76	Rio.Grande.do.Sul	Brazil
REF77	_	_	
REF78	_	_	
REF79	_	_	
REF80	_	_	
REF81	_	_	
		
